prompt,completion
I'm interested in learning more about 221: JUDICIAL SYSTEM AND PLEADINGS (A),"The course explains to the student the ways and procedures used to obtain legal rights based on Saudi systems such as the Law of Procedure Before Sharia Courts. It specifically explains the procedures of civil and commercial lawsuits, by explaining the formation of the courts and the competent authorities. Therefore, through this course, the student will be able to apply knowledge to practice."
Tell me about Law 223: LAW OF CONTRACTS I (A),"This course is one of the civil law courses series. It covers contract theory. Therefore, the students in this course are introduced to the most important provisions and issues related to the most common civil contracts, namely sales and lease contracts, by focusing on how they are created, implemented, and expired. In addition, the most important provisions related to the general terms and conditions of these contracts. It covers as well how to resolve civil conflict related to sale and rent by reviewing precedents from Saudi courts and international arbitration committees."
Can you provide some information about 223: LAW OF CONTRACTS I (A),"This course is one of the civil law courses series. It covers contract theory. Therefore, the students in this course are introduced to the most important provisions and issues related to the most common civil contracts, namely sales and lease contracts, by focusing on how they are created, implemented, and expired. In addition, the most important provisions related to the general terms and conditions of these contracts. It covers as well how to resolve civil conflict related to sale and rent by reviewing precedents from Saudi courts and international arbitration committees."
I'm interested in learning more about 223: LAW OF CONTRACTS I (A),"This course is one of the civil law courses series. It covers contract theory. Therefore, the students in this course are introduced to the most important provisions and issues related to the most common civil contracts, namely sales and lease contracts, by focusing on how they are created, implemented, and expired. In addition, the most important provisions related to the general terms and conditions of these contracts. It covers as well how to resolve civil conflict related to sale and rent by reviewing precedents from Saudi courts and international arbitration committees."
Tell me about Law 230: ARABIC LEGAL WRITING (A),"This course introduces the students to practices, procedures and protocols of legal writing in Arabic. The focus is on the Arabic language and drafting of different legal documents, including various pleadings and defense documents, drafting contracts, conducting legal research, writing legal memos, providing legal consultations, and presenting their work in writing and in oral argument. This course is designed to prepare the students for the job market in accordance with the targeted legal areas."
Can you provide some information about 230: ARABIC LEGAL WRITING (A),"This course introduces the students to practices, procedures and protocols of legal writing in Arabic. The focus is on the Arabic language and drafting of different legal documents, including various pleadings and defense documents, drafting contracts, conducting legal research, writing legal memos, providing legal consultations, and presenting their work in writing and in oral argument. This course is designed to prepare the students for the job market in accordance with the targeted legal areas."
I'm interested in learning more about 230: ARABIC LEGAL WRITING (A),"This course introduces the students to practices, procedures and protocols of legal writing in Arabic. The focus is on the Arabic language and drafting of different legal documents, including various pleadings and defense documents, drafting contracts, conducting legal research, writing legal memos, providing legal consultations, and presenting their work in writing and in oral argument. This course is designed to prepare the students for the job market in accordance with the targeted legal areas."
Tell me about Law 231: ENGLISH LEGAL WRITING (E),"The course is an obligatory course. It aims to give practical training to law students about writing, drafting legal documents. These documents are considered essential part of any law degree. Students receive first-hand experience of what a law firm require in legal writing, once they join the job market. The course has various areas of legal written practice of making documents for clients and court proceedings like pleading papers or contracts. Students will have opportunities to learn and apply their legal English skills by becoming familiar with resources available to students, observing real-world legal situations"
Can you provide some information about 231: ENGLISH LEGAL WRITING (E),"The course is an obligatory course. It aims to give practical training to law students about writing, drafting legal documents. These documents are considered essential part of any law degree. Students receive first-hand experience of what a law firm require in legal writing, once they join the job market. The course has various areas of legal written practice of making documents for clients and court proceedings like pleading papers or contracts. Students will have opportunities to learn and apply their legal English skills by becoming familiar with resources available to students, observing real-world legal situations"
I'm interested in learning more about 231: ENGLISH LEGAL WRITING (E),"The course is an obligatory course. It aims to give practical training to law students about writing, drafting legal documents. These documents are considered essential part of any law degree. Students receive first-hand experience of what a law firm require in legal writing, once they join the job market. The course has various areas of legal written practice of making documents for clients and court proceedings like pleading papers or contracts. Students will have opportunities to learn and apply their legal English skills by becoming familiar with resources available to students, observing real-world legal situations"
Tell me about Law 320: LABOR LAW AND SOCIAL SECURITY (A),"This course is concerned with the organization of labor relations according to the employment contract in the private sector, employment contracts for employees Under Budget wagetory item or in the public sector. It covers the most important provisions related to the establishment, implementation and termination of the employment contracts of a Saudi and foreign employee and how to resolve disputes related to them. The reason behind linking the Labor Law to the Insurance Law is that the two are an integral part of the other. In addition, the Insurance Law is the law under which the employee remains after the end of his contractual relationship that is protected by the Labor Law in order to face social risks and obtain the pension."
Can you provide some information about 320: LABOR LAW AND SOCIAL SECURITY (A),"This course is concerned with the organization of labor relations according to the employment contract in the private sector, employment contracts for employees Under Budget wagetory item or in the public sector. It covers the most important provisions related to the establishment, implementation and termination of the employment contracts of a Saudi and foreign employee and how to resolve disputes related to them. The reason behind linking the Labor Law to the Insurance Law is that the two are an integral part of the other. In addition, the Insurance Law is the law under which the employee remains after the end of his contractual relationship that is protected by the Labor Law in order to face social risks and obtain the pension."
I'm interested in learning more about 320: LABOR LAW AND SOCIAL SECURITY (A),"This course is concerned with the organization of labor relations according to the employment contract in the private sector, employment contracts for employees Under Budget wagetory item or in the public sector. It covers the most important provisions related to the establishment, implementation and termination of the employment contracts of a Saudi and foreign employee and how to resolve disputes related to them. The reason behind linking the Labor Law to the Insurance Law is that the two are an integral part of the other. In addition, the Insurance Law is the law under which the employee remains after the end of his contractual relationship that is protected by the Labor Law in order to face social risks and obtain the pension."
Tell me about Law 243: COMMERCIAL LAW I (A),"This course is part 1 of the Commercial Law System. It covers three sections: the first one introduces Commercial Law, by indicating the scope of Commercial Law application, the criteria of differentiating commercial from civil transactions, and the effects of the distinction between them. The second section explains the conditions for acquiring the status of a trader, its obligations, and the commercial place and its required licenses. As for the third section, it covers the definitions of commercial papers, their types (the bill of exchange, the promissory note and the check), their creation, their circulation, and the guarantees of their fulfillment."
Can you provide some information about 243: COMMERCIAL LAW I (A),"This course is part 1 of the Commercial Law System. It covers three sections: the first one introduces Commercial Law, by indicating the scope of Commercial Law application, the criteria of differentiating commercial from civil transactions, and the effects of the distinction between them. The second section explains the conditions for acquiring the status of a trader, its obligations, and the commercial place and its required licenses. As for the third section, it covers the definitions of commercial papers, their types (the bill of exchange, the promissory note and the check), their creation, their circulation, and the guarantees of their fulfillment."
I'm interested in learning more about 243: COMMERCIAL LAW I (A),"This course is part 1 of the Commercial Law System. It covers three sections: the first one introduces Commercial Law, by indicating the scope of Commercial Law application, the criteria of differentiating commercial from civil transactions, and the effects of the distinction between them. The second section explains the conditions for acquiring the status of a trader, its obligations, and the commercial place and its required licenses. As for the third section, it covers the definitions of commercial papers, their types (the bill of exchange, the promissory note and the check), their creation, their circulation, and the guarantees of their fulfillment."
Tell me about Law 255: PUBLIC INTERNATIONAL LAW (E),"This course is an obligatory course. This course focuses on the relations between states, international organizations, and other legal actors within the public international framework. It explores competing notions of sovereignty and the dilemma of conflict resolution between parties under international law. Special attention will be paid to the recognition of states and the consequent obligations of states, the law of treaties, and topical issues in international law, for example illegal settling of territories, the law of the sea, the requirements and obstacles of state formation and humanitarian law."
Can you provide some information about 255: PUBLIC INTERNATIONAL LAW (E),"This course is an obligatory course. This course focuses on the relations between states, international organizations, and other legal actors within the public international framework. It explores competing notions of sovereignty and the dilemma of conflict resolution between parties under international law. Special attention will be paid to the recognition of states and the consequent obligations of states, the law of treaties, and topical issues in international law, for example illegal settling of territories, the law of the sea, the requirements and obstacles of state formation and humanitarian law."
I'm interested in learning more about 255: PUBLIC INTERNATIONAL LAW (E),"This course is an obligatory course. This course focuses on the relations between states, international organizations, and other legal actors within the public international framework. It explores competing notions of sovereignty and the dilemma of conflict resolution between parties under international law. Special attention will be paid to the recognition of states and the consequent obligations of states, the law of treaties, and topical issues in international law, for example illegal settling of territories, the law of the sea, the requirements and obstacles of state formation and humanitarian law."
Tell me about Law 262: CRIMINAL LAW I (A),"The course introduces Theory of Crime and Theory of Sanction in Sharia and law. It is presented in three parts: Part I - defines crime and lists its characteristics, divisions, and types (legal, material, moral). Part II- deals with the study of the criminal in terms of defining his role as a contributor to the crime, as being directly involved in the crime (original contribution) or a co-creator (associative contribution), according to the acts he committed. In addition, this part is concerned with the statement of the criminal responsibility for what is attributed to him and the availability of the eligibility conditions at the time of committing the crime (perception, freedom of choice). Furthermore, it covers the obstacles of criminal responsibility that may result, under certain conditions, in the absence of criminal responsibility or the removal of the criminal character of the act. Part III- introduces the Theory of Sanction, its divisions, types, and individualization. Moreover, it indicates the reasons for mitigating and aggravating the sanction, the methods of execution, its suspension, its limitations, its alternatives, and the effects of its implementation."
Can you provide some information about 262: CRIMINAL LAW I (A),"The course introduces Theory of Crime and Theory of Sanction in Sharia and law. It is presented in three parts: Part I - defines crime and lists its characteristics, divisions, and types (legal, material, moral). Part II- deals with the study of the criminal in terms of defining his role as a contributor to the crime, as being directly involved in the crime (original contribution) or a co-creator (associative contribution), according to the acts he committed. In addition, this part is concerned with the statement of the criminal responsibility for what is attributed to him and the availability of the eligibility conditions at the time of committing the crime (perception, freedom of choice). Furthermore, it covers the obstacles of criminal responsibility that may result, under certain conditions, in the absence of criminal responsibility or the removal of the criminal character of the act. Part III- introduces the Theory of Sanction, its divisions, types, and individualization. Moreover, it indicates the reasons for mitigating and aggravating the sanction, the methods of execution, its suspension, its limitations, its alternatives, and the effects of its implementation."
I'm interested in learning more about 262: CRIMINAL LAW I (A),"The course introduces Theory of Crime and Theory of Sanction in Sharia and law. It is presented in three parts: Part I - defines crime and lists its characteristics, divisions, and types (legal, material, moral). Part II- deals with the study of the criminal in terms of defining his role as a contributor to the crime, as being directly involved in the crime (original contribution) or a co-creator (associative contribution), according to the acts he committed. In addition, this part is concerned with the statement of the criminal responsibility for what is attributed to him and the availability of the eligibility conditions at the time of committing the crime (perception, freedom of choice). Furthermore, it covers the obstacles of criminal responsibility that may result, under certain conditions, in the absence of criminal responsibility or the removal of the criminal character of the act. Part III- introduces the Theory of Sanction, its divisions, types, and individualization. Moreover, it indicates the reasons for mitigating and aggravating the sanction, the methods of execution, its suspension, its limitations, its alternatives, and the effects of its implementation."
Tell me about Law 263: CRIMINAL LAW II (A),"LAW262 is a prerequisite course. This course aims to provide the student with the knowledge, skills and values necessary to understand the principles and detailed provisions related to the elements of each crime or a specific category of different crimes and to apply them to the various-cases related to them. Therefore, this course covers an important aspect of punitive crimes such as bribery and crimes ancillary to it, embezzlement of public funds, counterfeiting the currency circulated in the system in the Kingdom of Saudi Arabia, seals, stamps, signs and papers forgery crimes, drug crimes, money laundering crimes and check crimes."
Can you provide some information about 263: CRIMINAL LAW II (A),"LAW262 is a prerequisite course. This course aims to provide the student with the knowledge, skills and values necessary to understand the principles and detailed provisions related to the elements of each crime or a specific category of different crimes and to apply them to the various-cases related to them. Therefore, this course covers an important aspect of punitive crimes such as bribery and crimes ancillary to it, embezzlement of public funds, counterfeiting the currency circulated in the system in the Kingdom of Saudi Arabia, seals, stamps, signs and papers forgery crimes, drug crimes, money laundering crimes and check crimes."
I'm interested in learning more about 263: CRIMINAL LAW II (A),"LAW262 is a prerequisite course. This course aims to provide the student with the knowledge, skills and values necessary to understand the principles and detailed provisions related to the elements of each crime or a specific category of different crimes and to apply them to the various-cases related to them. Therefore, this course covers an important aspect of punitive crimes such as bribery and crimes ancillary to it, embezzlement of public funds, counterfeiting the currency circulated in the system in the Kingdom of Saudi Arabia, seals, stamps, signs and papers forgery crimes, drug crimes, money laundering crimes and check crimes."
Tell me about Law 273: ADMINISTRATIVE LAW II (A),"LAW150 is a prerequisite course. This course is considered one of the most important topics of administrative law, as it deals with contractual procedures in governmental agencies, and there is no doubt that these procedures are of paramount importance because they are related to public funds. Therefore, taking this course is an indispensable necessity to understand the legal provisions of contracts concluded by the administrative agencies, in order to verify that these contracts are directed in accordance with the public interest."
Can you provide some information about 273: ADMINISTRATIVE LAW II (A),"LAW150 is a prerequisite course. This course is considered one of the most important topics of administrative law, as it deals with contractual procedures in governmental agencies, and there is no doubt that these procedures are of paramount importance because they are related to public funds. Therefore, taking this course is an indispensable necessity to understand the legal provisions of contracts concluded by the administrative agencies, in order to verify that these contracts are directed in accordance with the public interest."
I'm interested in learning more about 273: ADMINISTRATIVE LAW II (A),"LAW150 is a prerequisite course. This course is considered one of the most important topics of administrative law, as it deals with contractual procedures in governmental agencies, and there is no doubt that these procedures are of paramount importance because they are related to public funds. Therefore, taking this course is an indispensable necessity to understand the legal provisions of contracts concluded by the administrative agencies, in order to verify that these contracts are directed in accordance with the public interest."
Tell me about Law 313: REAL AND PERSONAL GUARANTEES (A),"This course is related to Civil Law courses in the Law Program of Prince Sultan University. LAW 111& LAW213 are perquisite for this course. During this course, the total accessory real rights with a focus on the right of mortgage and personal guarantees, and sponsorship are covered. By taking this course, the civil law vocabularies will be completely covered for the students, as well as creditor�s private protection methods."
Can you provide some information about 313: REAL AND PERSONAL GUARANTEES (A),"This course is related to Civil Law courses in the Law Program of Prince Sultan University. LAW 111& LAW213 are perquisite for this course. During this course, the total accessory real rights with a focus on the right of mortgage and personal guarantees, and sponsorship are covered. By taking this course, the civil law vocabularies will be completely covered for the students, as well as creditor�s private protection methods."
I'm interested in learning more about 313: REAL AND PERSONAL GUARANTEES (A),"This course is related to Civil Law courses in the Law Program of Prince Sultan University. LAW 111& LAW213 are perquisite for this course. During this course, the total accessory real rights with a focus on the right of mortgage and personal guarantees, and sponsorship are covered. By taking this course, the civil law vocabularies will be completely covered for the students, as well as creditor�s private protection methods."
Tell me about Law 316: PROPERTY AND ASSETS (A),"This course is the last course in the series of Civil Law courses in the Law Program of Prince Sultan University. It covers real guarantees, with a focus on property rights. Also, by taking this course, the civil law vocabularies will be completely covered for the student. In addition, it is concerned with teaching the reasons for acquiring a property in Islamic Sharia and law, which enables the student to identify these reasons and realize the extent of compatibility between legal reasons and their legal principles. The course as well will highlight the types of funds and foreigners property rights in the Kingdom of Saudi Arabia."
Can you provide some information about 316: PROPERTY AND ASSETS (A),"This course is the last course in the series of Civil Law courses in the Law Program of Prince Sultan University. It covers real guarantees, with a focus on property rights. Also, by taking this course, the civil law vocabularies will be completely covered for the student. In addition, it is concerned with teaching the reasons for acquiring a property in Islamic Sharia and law, which enables the student to identify these reasons and realize the extent of compatibility between legal reasons and their legal principles. The course as well will highlight the types of funds and foreigners property rights in the Kingdom of Saudi Arabia."
I'm interested in learning more about 316: PROPERTY AND ASSETS (A),"This course is the last course in the series of Civil Law courses in the Law Program of Prince Sultan University. It covers real guarantees, with a focus on property rights. Also, by taking this course, the civil law vocabularies will be completely covered for the student. In addition, it is concerned with teaching the reasons for acquiring a property in Islamic Sharia and law, which enables the student to identify these reasons and realize the extent of compatibility between legal reasons and their legal principles. The course as well will highlight the types of funds and foreigners property rights in the Kingdom of Saudi Arabia."
Tell me about Law 340: CRIMINAL LAW III (A),"This course represents the procedural or formal aspect of criminal law. CRIMINAL LAW & CRIMINAL LAW II are prerequisite courses. This course aims to provide the students with knowledge, skills and values necessary to understand the general principles and detailed provisions of criminal procedures and apply them to the various cases related to this system. This includes the system of criminal procedures and its relationship with other criminal and procedural laws, the main system of judgment and procedural penalties, criminal cases, the inference and the exceptional competencies of criminal police, the preliminary investigation stage, the trial stage, judgments objections and their implementation."
Can you provide some information about 340: CRIMINAL LAW III (A),"This course represents the procedural or formal aspect of criminal law. CRIMINAL LAW & CRIMINAL LAW II are prerequisite courses. This course aims to provide the students with knowledge, skills and values necessary to understand the general principles and detailed provisions of criminal procedures and apply them to the various cases related to this system. This includes the system of criminal procedures and its relationship with other criminal and procedural laws, the main system of judgment and procedural penalties, criminal cases, the inference and the exceptional competencies of criminal police, the preliminary investigation stage, the trial stage, judgments objections and their implementation."
I'm interested in learning more about 340: CRIMINAL LAW III (A),"This course represents the procedural or formal aspect of criminal law. CRIMINAL LAW & CRIMINAL LAW II are prerequisite courses. This course aims to provide the students with knowledge, skills and values necessary to understand the general principles and detailed provisions of criminal procedures and apply them to the various cases related to this system. This includes the system of criminal procedures and its relationship with other criminal and procedural laws, the main system of judgment and procedural penalties, criminal cases, the inference and the exceptional competencies of criminal police, the preliminary investigation stage, the trial stage, judgments objections and their implementation."
Tell me about Law 342: COMMERCIAL LAW II (E),"This course considers the legal regulation of business organizations, concentrating on commercial companies. It discusses the types of business organizations and the fundamental principles of corporate personality /limited liability which underpin company law. The whole cycle from incorporation to liquidation, bankruptcy regulations of a company�s operations and examined corporate governance, shareholder�s rights, and corporate finances."
Can you provide some information about 342: COMMERCIAL LAW II (E),"This course considers the legal regulation of business organizations, concentrating on commercial companies. It discusses the types of business organizations and the fundamental principles of corporate personality /limited liability which underpin company law. The whole cycle from incorporation to liquidation, bankruptcy regulations of a company�s operations and examined corporate governance, shareholder�s rights, and corporate finances."
I'm interested in learning more about 342: COMMERCIAL LAW II (E),"This course considers the legal regulation of business organizations, concentrating on commercial companies. It discusses the types of business organizations and the fundamental principles of corporate personality /limited liability which underpin company law. The whole cycle from incorporation to liquidation, bankruptcy regulations of a company�s operations and examined corporate governance, shareholder�s rights, and corporate finances."
Tell me about ETHC 351: LEGAL ETHICS,"This course is an introduction to legal ethics and the philosophy and regulation of morals and values underpinning legal profession. Legal professionals are engaged in the practice and administration of law in the society, the course focus on the establishment and regulation of the legal profession in Saudi Arabia and other parts of the world. Topics to be covered include the Role and Responsibilities of Lawyers in Society and the Lawyer-Client Relationship."
Can you provide some information about 351: LEGAL ETHICS,"This course is an introduction to legal ethics and the philosophy and regulation of morals and values underpinning legal profession. Legal professionals are engaged in the practice and administration of law in the society, the course focus on the establishment and regulation of the legal profession in Saudi Arabia and other parts of the world. Topics to be covered include the Role and Responsibilities of Lawyers in Society and the Lawyer-Client Relationship."
I'm interested in learning more about 351: LEGAL ETHICS,"This course is an introduction to legal ethics and the philosophy and regulation of morals and values underpinning legal profession. Legal professionals are engaged in the practice and administration of law in the society, the course focus on the establishment and regulation of the legal profession in Saudi Arabia and other parts of the world. Topics to be covered include the Role and Responsibilities of Lawyers in Society and the Lawyer-Client Relationship."
Tell me about Law 352: LAW OF CONTRACTS II (E),"This in an advanced course on contract law that follows up on previous courses on commercial and contract law. The course deals with three important areas of commercial contracts, namely, sale of goods, agency and hire-purchase from an international and comparative law perspective. The course is intended to cover the origins and nature of these contracts, how these contracts may be created, the terms and conditions included in the contracts, possible problems related to the performance of the contracts, the relationship between the parties and the rights and liabilities of the parties."
Can you provide some information about 352: LAW OF CONTRACTS II (E),"This in an advanced course on contract law that follows up on previous courses on commercial and contract law. The course deals with three important areas of commercial contracts, namely, sale of goods, agency and hire-purchase from an international and comparative law perspective. The course is intended to cover the origins and nature of these contracts, how these contracts may be created, the terms and conditions included in the contracts, possible problems related to the performance of the contracts, the relationship between the parties and the rights and liabilities of the parties."
I'm interested in learning more about 352: LAW OF CONTRACTS II (E),"This in an advanced course on contract law that follows up on previous courses on commercial and contract law. The course deals with three important areas of commercial contracts, namely, sale of goods, agency and hire-purchase from an international and comparative law perspective. The course is intended to cover the origins and nature of these contracts, how these contracts may be created, the terms and conditions included in the contracts, possible problems related to the performance of the contracts, the relationship between the parties and the rights and liabilities of the parties."
Tell me about Law 357: ZAKAT AND TAXATION SYSTEM (A),"This course is practical, and it is one of the compulsory Law courses. Commercial Law I is a prerequisite course. This course deals with the definition of Zakat, its characteristics, objectives, and conditions, which assets are subject to Zakat, estimating it in accordance with Saudi law. This course also deals with the tax system in terms of its definition, characteristics, and objectives, types, estimating it, the mechanism of their collection, disputes and objections to assessments assessed by the tax administration."
Can you provide some information about 357: ZAKAT AND TAXATION SYSTEM (A),"This course is practical, and it is one of the compulsory Law courses. Commercial Law I is a prerequisite course. This course deals with the definition of Zakat, its characteristics, objectives, and conditions, which assets are subject to Zakat, estimating it in accordance with Saudi law. This course also deals with the tax system in terms of its definition, characteristics, and objectives, types, estimating it, the mechanism of their collection, disputes and objections to assessments assessed by the tax administration."
I'm interested in learning more about 357: ZAKAT AND TAXATION SYSTEM (A),"This course is practical, and it is one of the compulsory Law courses. Commercial Law I is a prerequisite course. This course deals with the definition of Zakat, its characteristics, objectives, and conditions, which assets are subject to Zakat, estimating it in accordance with Saudi law. This course also deals with the tax system in terms of its definition, characteristics, and objectives, types, estimating it, the mechanism of their collection, disputes and objections to assessments assessed by the tax administration."
Tell me about Law 359: ADMINISTRATIVE LAW III (A),"LAW 150 is a prerequisite course. This course focuses on legal conflicts with government agencies or one of the country�s institutions, departments and authorities. It also explains the principle of legality and judicial control over the administrative authority, the types of lawsuits before the administrative judiciary and the organization of the administrative judiciary in the Kingdom of Saudi Arabia. By completing the three courses on administrative law, the students will acquire plenty of skills, including, the analysis and criticism, research writing, and commenting on administrative judicial law."
Can you provide some information about 359: ADMINISTRATIVE LAW III (A),"LAW 150 is a prerequisite course. This course focuses on legal conflicts with government agencies or one of the country�s institutions, departments and authorities. It also explains the principle of legality and judicial control over the administrative authority, the types of lawsuits before the administrative judiciary and the organization of the administrative judiciary in the Kingdom of Saudi Arabia. By completing the three courses on administrative law, the students will acquire plenty of skills, including, the analysis and criticism, research writing, and commenting on administrative judicial law."
I'm interested in learning more about 359: ADMINISTRATIVE LAW III (A),"LAW 150 is a prerequisite course. This course focuses on legal conflicts with government agencies or one of the country�s institutions, departments and authorities. It also explains the principle of legality and judicial control over the administrative authority, the types of lawsuits before the administrative judiciary and the organization of the administrative judiciary in the Kingdom of Saudi Arabia. By completing the three courses on administrative law, the students will acquire plenty of skills, including, the analysis and criticism, research writing, and commenting on administrative judicial law."
Tell me about Law 369: CONFLICT OF LAWS (E),"The course conflict of laws, also known as private international law, is an advanced course that follows up on the understanding gained in previous courses on private and commercial substantive law as well as procedural law. The course focuses on cross-border private and commercial legal relations. Although it introduces new theoretical concepts to the students, it is largely taught from a practical perspective of a lawyer who needs to answer the three basics questions: the courts of which state can hear the cross-border case, what will be the applicable law to the case and will such judgment be recognized and enforced in a foreign state."
Can you provide some information about 369: CONFLICT OF LAWS (E),"The course conflict of laws, also known as private international law, is an advanced course that follows up on the understanding gained in previous courses on private and commercial substantive law as well as procedural law. The course focuses on cross-border private and commercial legal relations. Although it introduces new theoretical concepts to the students, it is largely taught from a practical perspective of a lawyer who needs to answer the three basics questions: the courts of which state can hear the cross-border case, what will be the applicable law to the case and will such judgment be recognized and enforced in a foreign state."
I'm interested in learning more about 369: CONFLICT OF LAWS (E),"The course conflict of laws, also known as private international law, is an advanced course that follows up on the understanding gained in previous courses on private and commercial substantive law as well as procedural law. The course focuses on cross-border private and commercial legal relations. Although it introduces new theoretical concepts to the students, it is largely taught from a practical perspective of a lawyer who needs to answer the three basics questions: the courts of which state can hear the cross-border case, what will be the applicable law to the case and will such judgment be recognized and enforced in a foreign state."
"Tell me about Law 374: SUCCESSION, WILLS AND ENDOWMENTS (A)","This course covers issues of inheritance, by explaining the heirs and associations, the conditions of their inheritance, and how it is distributed among them. It also covers the provisions of wills and endowments, and the application of them by listing the applicable regulations in the Kingdom of Saudi Arabia."
"Can you provide some information about 374: SUCCESSION, WILLS AND ENDOWMENTS (A)","This course covers issues of inheritance, by explaining the heirs and associations, the conditions of their inheritance, and how it is distributed among them. It also covers the provisions of wills and endowments, and the application of them by listing the applicable regulations in the Kingdom of Saudi Arabia."
"I'm interested in learning more about 374: SUCCESSION, WILLS AND ENDOWMENTS (A)","This course covers issues of inheritance, by explaining the heirs and associations, the conditions of their inheritance, and how it is distributed among them. It also covers the provisions of wills and endowments, and the application of them by listing the applicable regulations in the Kingdom of Saudi Arabia."
Tell me about Law 380: MOOT COURT,"The course aims to achieve proficiency and excellence in students�s skills to apply law in practice. The final outcome of a course is a successful participation in a simulation of civil litigation, arbitration or criminal procedure in which students are prepared for their future profession of an attorney, judge or arbitrator. The moot court course will be closely linked to either ongoing or future moot court students� competitions in different legal disciplines (such as Willem C. Vis moot on international commercial arbitration or Jessup). The content of the course depends on the problem/case analyzed and will focus on in depth analysis of the specific legal field required to solve the case, instead of covering broad legal topics."
Can you provide some information about 380: MOOT COURT,"The course aims to achieve proficiency and excellence in students�s skills to apply law in practice. The final outcome of a course is a successful participation in a simulation of civil litigation, arbitration or criminal procedure in which students are prepared for their future profession of an attorney, judge or arbitrator. The moot court course will be closely linked to either ongoing or future moot court students� competitions in different legal disciplines (such as Willem C. Vis moot on international commercial arbitration or Jessup). The content of the course depends on the problem/case analyzed and will focus on in depth analysis of the specific legal field required to solve the case, instead of covering broad legal topics."
I'm interested in learning more about 380: MOOT COURT,"The course aims to achieve proficiency and excellence in students�s skills to apply law in practice. The final outcome of a course is a successful participation in a simulation of civil litigation, arbitration or criminal procedure in which students are prepared for their future profession of an attorney, judge or arbitrator. The moot court course will be closely linked to either ongoing or future moot court students� competitions in different legal disciplines (such as Willem C. Vis moot on international commercial arbitration or Jessup). The content of the course depends on the problem/case analyzed and will focus on in depth analysis of the specific legal field required to solve the case, instead of covering broad legal topics."
Tell me about Law 381: INTRODUCTION TO CORPORATE GOVERNANCE,"This course will explore key basic aspects of corporate governance. The course focuses on rules to lead and guide the company that includes mechanisms to regulate the various relationships between the Board, Executive Directors, shareholders and Stakeholders. The aim is to analyze and discuss the rules and procedures to facilitate the decision making process with transparency and credibility to protect the rights of shareholders and stakeholders and achieve fairness, competitiveness and transparency on the exchange and the business environment."
Can you provide some information about 381: INTRODUCTION TO CORPORATE GOVERNANCE,"This course will explore key basic aspects of corporate governance. The course focuses on rules to lead and guide the company that includes mechanisms to regulate the various relationships between the Board, Executive Directors, shareholders and Stakeholders. The aim is to analyze and discuss the rules and procedures to facilitate the decision making process with transparency and credibility to protect the rights of shareholders and stakeholders and achieve fairness, competitiveness and transparency on the exchange and the business environment."
I'm interested in learning more about 381: INTRODUCTION TO CORPORATE GOVERNANCE,"This course will explore key basic aspects of corporate governance. The course focuses on rules to lead and guide the company that includes mechanisms to regulate the various relationships between the Board, Executive Directors, shareholders and Stakeholders. The aim is to analyze and discuss the rules and procedures to facilitate the decision making process with transparency and credibility to protect the rights of shareholders and stakeholders and achieve fairness, competitiveness and transparency on the exchange and the business environment."
"Tell me about Law 382: ARTIFICIAL INTELLIGENCE, TECHNOLOGY AND LAW","The course deals with contemporary legal challenges faced with the development of artificial intelligence, robotics and information technology. It introduces the students in the current technological development and explores new legal questions arising out of this development. The legal challenges are various and include liability, data protection, e-commerce, cross-border jurisdiction and applicable law. The relationship between the technological development and ethical standards will be discussed."
"Can you provide some information about 382: ARTIFICIAL INTELLIGENCE, TECHNOLOGY AND LAW","The course deals with contemporary legal challenges faced with the development of artificial intelligence, robotics and information technology. It introduces the students in the current technological development and explores new legal questions arising out of this development. The legal challenges are various and include liability, data protection, e-commerce, cross-border jurisdiction and applicable law. The relationship between the technological development and ethical standards will be discussed."
"I'm interested in learning more about 382: ARTIFICIAL INTELLIGENCE, TECHNOLOGY AND LAW","The course deals with contemporary legal challenges faced with the development of artificial intelligence, robotics and information technology. It introduces the students in the current technological development and explores new legal questions arising out of this development. The legal challenges are various and include liability, data protection, e-commerce, cross-border jurisdiction and applicable law. The relationship between the technological development and ethical standards will be discussed."
Tell me about Law 402: COMMERCIAL ORGANIZATION (E),"The course International Commercial Organization is an advanced course that focuses on the role of the international commercial and financial organizations in regard to trade regulation. The aim of this course is to raise students� awareness of the key roles that international organizations play in global, regional and domestic policy making. The main organizations that the course covers are the World Trade Organization (WTO), the Organization for Economic Development and Cooperation (OECD), the International Monetary Fund (IMF) and the World Bank."
